Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",47.000000,-39.500000,180.000000,bottom
"C2","100nF","C_0402_1005Metric",44.000000,-41.000000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",42.500000,-42.500000,180.000000,bottom
"C4","100nF","C_0402_1005Metric",41.000000,-44.000000,0.000000,bottom
"C5","100nF","C_0402_1005Metric",39.500000,-47.000000,90.000000,bottom
"C6","100nF","C_0402_1005Metric",39.500000,-53.000000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",41.000000,-56.000000,180.000000,bottom
"C8","100nF","C_0402_1005Metric",42.500000,-57.500000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",44.000000,-59.000000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",47.000000,-60.500000,0.000000,bottom
"C11","100nF","C_0402_1005Metric",53.000000,-60.500000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",56.000000,-59.000000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",57.500000,-57.500000,180.000000,bottom
"C14","100nF","C_0402_1005Metric",59.000000,-56.000000,0.000000,bottom
"C15","100nF","C_0402_1005Metric",60.500000,-53.000000,90.000000,bottom
"C16","100nF","C_0402_1005Metric",60.500000,-47.000000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",59.000000,-44.000000,0.000000,bottom
"C18","100nF","C_0402_1005Metric",57.500000,-42.500000,0.000000,bottom
"C19","100nF","C_0402_1005Metric",56.000000,-41.000000,180.000000,bottom
"C20","100nF","C_0402_1005Metric",53.000000,-39.500000,0.000000,bottom
"J1","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical_SMD_Pin1Right",50.000000,-50.000000,-90.000000,bottom
